id,country,category,subcategory,domain,meta,last_found,first_found,found_by,getter_name
30,NL,Education,primary education,www.pcbshetmozaiek.nl,"{'adres_straat': 'De Stok', 'adres_nummer': '4', 'postcode': '7913 RE', 'plaats': 'HOLLANDSCHEVELD', 'correspondentieadres_straat': 'Postbus', 'correspondentieadres_nummer': '30', 'correspondentieadres_postcode': '7913 ZG', 'correspondentieadres_plaats': 'HOLLANDSCHEVELD', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0528343291'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
31,NL,Education,university, ,"{'name': 'Hogeschool Thomas More', 'adres_straat': 'Stationssingel', 'adres_nummer': '80', 'postcode': '3033 HJ', 'plaats': 'ROTTERDAM', 'correspondentieadres_straat': 'Stationssingel', 'correspondentieadres_nummer': 80, 'correspondentieadres_postcode': '3033 HJ', 'correspondentieadres_plaats': 'ROTTERDAM', 'denominatie': 'Overige', 'telefoonnummer': 104657066}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
32,NL,Education,primary education,www.willibrordusschool.nl,"{'adres_straat': 'Thorbeckestraat', 'adres_nummer': '1', 'postcode': '7742 AJ', 'plaats': 'COEVORDEN', 'correspondentieadres_straat': 'Thorbeckestraat', 'correspondentieadres_nummer': '1', 'correspondentieadres_postcode': '7742 AJ', 'correspondentieadres_plaats': 'COEVORDEN', 'denominatie': 'Rooms-Katholiek', 'telefoonnummer': '0524513531'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
33,NL,Education,primary education,www.kbsdeplataan.nl,"{'adres_straat': 'Vledderstraat', 'adres_nummer': '3-E', 'postcode': '7941 LC', 'plaats': 'MEPPEL', 'correspondentieadres_straat': 'Vledderstraat', 'correspondentieadres_nummer': '3-E', 'correspondentieadres_postcode': '7941 LC', 'correspondentieadres_plaats': 'MEPPEL', 'denominatie': 'Rooms-Katholiek', 'telefoonnummer': '0522251025'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
34,NL,Education,primary education,www.tbschool.nl,"{'adres_straat': 'Herman Bavinckstraat', 'adres_nummer': '1', 'postcode': '7901 BS', 'plaats': 'HOOGEVEEN', 'correspondentieadres_straat': 'Herman Bavinckstraat', 'correspondentieadres_nummer': '1', 'correspondentieadres_postcode': '7901 BS', 'correspondentieadres_plaats': 'HOOGEVEEN', 'denominatie': 'Rooms-Katholiek', 'telefoonnummer': '0528264115'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
35,NL,Education,primary education,www.pantarheischool.nl,"{'adres_straat': 'Jan van Scorelstraat', 'adres_nummer': '9', 'postcode': '7741 XM', 'plaats': 'COEVORDEN', 'correspondentieadres_straat': 'Jan van Scorelstraat', 'correspondentieadres_nummer': '9', 'correspondentieadres_postcode': '7741 XM', 'correspondentieadres_plaats': 'COEVORDEN', 'denominatie': 'Rooms-Katholiek', 'telefoonnummer': '0524513467'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
36,NL,Education,primary education,www.fonteinsleen.nl,"{'adres_straat': 'Westrupstraat', 'adres_nummer': '10', 'postcode': '7841 AZ', 'plaats': 'SLEEN', 'correspondentieadres_straat': 'Westrupstraat', 'correspondentieadres_nummer': '10', 'correspondentieadres_postcode': '7841 AZ', 'correspondentieadres_plaats': 'SLEEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0591361910'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
37,NL,Education,primary education,www.wegwijzergeesbrug.nl,"{'adres_straat': 'Schoolweg', 'adres_nummer': '2', 'postcode': '7917 PX', 'plaats': 'GEESBRUG', 'correspondentieadres_straat': 'Schoolweg', 'correspondentieadres_nummer': '2', 'correspondentieadres_postcode': '7917 PX', 'correspondentieadres_plaats': 'GEESBRUG', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0524291600'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
38,NL,Education,primary education,www.cbsdeschutse.nl,"{'adres_straat': 'Paardelandsdrift', 'adres_nummer': '9', 'postcode': '7854 PR', 'plaats': 'AALDEN', 'correspondentieadres_straat': 'Paardelandsdrift', 'correspondentieadres_nummer': '9', 'correspondentieadres_postcode': '7854 PR', 'correspondentieadres_plaats': 'AALDEN', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0591371898'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
39,NL,Education,primary education,www.cbsdeslagkrooie.nl,"{'adres_straat': 'Ringstraat', 'adres_nummer': '22', 'postcode': '7848 BW', 'plaats': 'SCHOONOORD', 'correspondentieadres_straat': 'Ringstraat', 'correspondentieadres_nummer': '22', 'correspondentieadres_postcode': '7848 BW', 'correspondentieadres_plaats': 'SCHOONOORD', 'denominatie': 'Protestants-Christelijk', 'telefoonnummer': '0591382412'}",2023-05-13 16:23:24.968655,2023-05-13 16:23:24.968655,1,nl_onderwijs_all
